area,file,current_region,planned_action,owner,tests
Plant constants,MazeMap/MazeMap/PlantModel.h,private constants around lines 143-153,Add only private contact-correction constants if validated; remove or keep permanently zero aggregate yaw damping,PlantModel,PlantModelDynamicsTest
Debug metadata,MazeMap/MazeMap/PlantModel.cpp,WritePlantDebugTextDump around lines 84-227,Add compact active-correction metadata only after coefficient promotion,PlantModel,Release verification plus replay identity check
Torque resolution,MazeMap/MazeMap/PlantModel.cpp,resolveAppliedBankTorques around lines 265-398,Do not place yaw-contact correction here; leave torque correction separate,PlantModel,Existing feedforward and MotorEncoderDrive tests
Contact force equation,MazeMap/MazeMap/PlantModel.cpp,evaluateAppliedBankTorqueStep raw force request around lines 569-596,Replace or extend raw patch forces with validated contact-continuum correction before projection,PlantModel,New zero-speed finite and continuity tests
Force projection,MazeMap/MazeMap/PlantModel.cpp,evaluateAppliedBankTorqueStep projection around lines 598-656,Preserve projection after correction so utilization diagnostics remain meaningful,PlantModel,Existing preprojection/saturation tests plus new finite tests
Yaw moment,MazeMap/MazeMap/PlantModel.cpp,evaluateAppliedBankTorqueStep yaw moment around lines 658-687,Keep yaw moment from projected patch forces; remove or do not promote aggregate yaw loss,PlantModel,Yaw sign and symmetric no-bias tests
Contact kinematics,MazeMap/MazeMap/PlantModel.cpp,wheelKinematics around lines 913-970,Reuse as sole source for contact-relative velocities; no slip/radius/mode branch,PlantModel,Zero-forward-speed and mixed-slip tests
Feedforward,MazeMap/MazeMap/PlantModel.cpp,ComputeFeedforward around lines 1057-1161,Remove aggregate yaw-damping compensation if aggregate damping is deleted,PlantModel,PlantModelDriveCommandTest feedforward cases
Vehicle facts,MazeMap/MazeMap/Vehicle.h,physical constants around lines 39-83,No yaw-identification coefficient additions; keep construction/load facts only,Vehicle,DriveStack_VehiclePlantBoundaryTest only if facts change
Wheel-bank facts,MazeMap/MazeMap/MotorEncoderDrive.h,tire-bank constants around lines 20-35,Do not change unless refit proves a tire-bank stiffness/gain fact,MotorEncoderDrive,MotorEncoderDriveTest only if facts change
