scope_or_bin,classification,count_or_coverage,runs_or_support,median_opposing_nm,spread_note,reason
"decoded open-floor bins with count>=500 run_count>=10 IQR<=0.08 run_spread<=0.08","trust for exploratory model-shape",23 bins,"cross-run","varies","low IQR and low run spread","Best existing evidence for repeatable nonzero-forward residual shape."
"Vf=+0.40 yaw=-1.00","trust",5602,28,-0.0019,"IQR 0.0278; run spread 0.0307","High-count, cross-run, low-spread bin; residual is near zero/yaw-aiding."
"Vf=+0.40 yaw=-4.50","trust",3540,10,-0.0086,"IQR 0.0233; run spread 0.0111","Repeatable moderate-yaw moving bin; supports small yaw-aiding residual."
"Vf=+0.60 yaw=-0.50","trust",1939,25,0.0036,"IQR 0.0226; run spread 0.0182","Good high-end forward coverage for low yaw; small counter-yaw residual."
"Vf=-0.60 yaw=+0.50","trust",1071,15,0.0053,"IQR 0.0250; run spread 0.0352","Useful reverse-direction validation at low yaw; do not extrapolate to high yaw."
"Vf=+0.50 yaw=+1.50","trust",1063,15,-0.0010,"IQR 0.0270; run spread 0.0491","Low-spread and near-zero; useful evidence against a large monotonic resistance surface."
"Vf=+0.10 yaw=+0.50","downweight",23315,43,-0.0068,"IQR 0.1375; run spread 0.2222","Very high count but dominated by low-speed transition/bin leakage and cross-run spread."
"Vf=+0.10 yaw=-0.50","downweight",20502,42,-0.0276,"IQR 0.1169; run spread 0.2152","High support but high spread; likely mixes phases, command states, and floor/tire conditions."
"Vf=-0.10 yaw=+2.50","downweight",3294,18,-0.0470,"IQR 0.0442; run spread 0.2667","Median is structured, but run spread is too large for direct fitting."
"Vf=+0.20 yaw=+0.50","downweight",11041,39,-0.0081,"IQR 0.0775; run spread 0.2044","Competition/open-floor and transient mixture likely dominate over steady tire physics."
"Vf=+0.30 yaw=-0.50","downweight",8885,34,-0.0001,"IQR 0.0182; run spread 0.1903","Small median with large run-to-run disagreement; useful only as near-zero constraint."
"competition auxiliary bins","downweight for fitting","varies","path/procedure dependent","varies","mixed RMSE; old schema","Useful coverage evidence, but missing fields and maneuver dependence make it weak authority."
"competition diagnostic bins","use as validation coverage","varies","diag000/diag001/diag003 useful","varies","diag holdouts improved","Better than aux for validation, still not controlled enough for final constants."
"single-run bins","do not fit","many bins","1 run","varies","no cross-run spread observable","Cannot distinguish physics from one run's floor, tire, battery, command, or extraction artifact."
"|Vf|>0.8 m/s with |yaw|>2 rad/s","missing","sparse","thin/no coverage","n/a","coverage absent","Needs targeted high-forward-speed arc sweeps."
"high-speed symmetric arcs at 0.6,0.8,1.0+ m/s","missing","not cleanly covered","not controlled","n/a","coverage/procedure gap","Needed to identify slip-angle and relaxation terms without bin leakage."
"fan/load split at same signed kinematics","missing","not controlled","not controlled","n/a","load/fan aliasing","Needed before interpreting residuals as normal-load or CoF effects."
