model_or_contract,split,fit_coefficient_weight,selection_or_reporting_role,notes
shared_evaluation_contract,primary_open_floor_fit_authoritative,fit-authoritative by contract,primary training signal,Existing dataset_split column; common input phase_classified_feature_sample.csv.
shared_evaluation_contract,open_floor_fit_downweighted,reported separately; downweighted where a model explicitly uses it,non-authoritative fit/validation evidence,Contract says validation-only/downweighted rows are separate; force-domain uses 0.25 base weight.
shared_evaluation_contract,open_floor_validation_only,0 for coefficient fit,held-out validation,Latest 2026-05-04_16-57-53 is here.
shared_evaluation_contract,diag_validation_only,0,competition diagnostic validation,Legacy schema; no saturation/watchdog/per-row fan.
shared_evaluation_contract,aux_downweighted_validation,0,competition auxiliary validation/stress,"Path/procedure dependent, metadata fan only."
standalone_contact_traction_testbed,primary_open_floor_fit_authoritative,"only coefficient-fit split; per-run balanced; spike x0.10, saturation x0.35, near-zero yaw x0.25",selected constants fitted here plus synthetic launch gate,"Selected constants therefore dominated by 15 older April open-floor authoritative runs, not latest May logs."
standalone_contact_traction_testbed,open_floor_fit_downweighted/open_floor_validation_only/diag_validation_only/aux_downweighted_validation,0,reported validation only,Latest May logs validate/report only; 2026-05-04_20-35-47 does not fit constants despite being fit_downweighted in source recommendation.
variant_c_combined_slip_surface,primary_open_floor_fit_authoritative,"only coefficient-fit split; per-run balanced; spike x0.10, saturation x0.35, near-zero yaw x0.25",coefficients fitted here,Model family/hyperparameters selected using non-authoritative validation objective.
variant_c_combined_slip_surface,all non-primary splits,0 for coefficients,model-selection objective and reporting; run-balanced validation objective,"Downweighted/latest/diag/aux influence candidate selection among narrow family choices, not coefficients."
round2_force_domain_stribeck,primary_open_floor_fit_authoritative,base 1.0 with quality multipliers and 1/sqrt(run_count) balancing,main coefficient fit,Uses residual_opposes_yaw_nm target.
round2_force_domain_stribeck,open_floor_fit_downweighted,"base 0.25 when recommendation=fit_downweighted and family=open_floor, then quality and run balancing",secondary coefficient fit,"This gives 2026-05-04_20-35-47 some fit influence, but less than primary and balanced by run."
round2_force_domain_stribeck,open_floor_validation_only/diag_validation_only/aux_downweighted_validation,0,validation/reporting only,Selected candidate also constrained by in-place command gate near 0.646 reference.
rational_speed_force_blend,all splits,no new coefficient fit; blends existing Variant C and force-domain predictions,selects transition by non-primary run-balanced validation RMSE with in-place command gate,Latest logs influence through validation/downweighted rows and mean blend; no raw fitting from them.
