constant,owner,current_value,units,source_file,source_symbol_or_line,empirical_support,proposed_value,confidence,production_readiness,action
physical_mass,Vehicle,0.14,kg,MazeMap/MazeMap/Vehicle.h,kPhysicalMassKg,"Plausible bench value; source comments refer to 140 g but MotorEncoderDrive tire note uses 0.138 kg; no current auditable weigh-in artifact found.",,medium,"usable as current default; not newly characterized","Do not update; reweigh current competition-ready robot."
physical_width,Vehicle,0.0842,m,MazeMap/MazeMap/Vehicle.h,kPhysicalWidthM,"Geometry value in source; measurement artifact not found in reviewed scratch analyses.",,medium,"usable as current default; not newly characterized","Confirm with bench measurement before any change."
physical_length,Vehicle,0.1085,m,MazeMap/MazeMap/Vehicle.h,kPhysicalLengthM,"Geometry value in source; measurement artifact not found in reviewed scratch analyses.",,medium,"usable as current default; not newly characterized","Confirm with bench measurement before any change."
physical_yaw_inertia,Vehicle,0.000220,kg*m^2,MazeMap/MazeMap/Vehicle.h,kPhysicalYawInertiaKgM2,"Derived from 0.14 kg and measured body envelope; rectangular estimate computed here is 0.000220055 kg*m^2; dynamic scalar fit to 0.000603133 is rejected as absorbing missing yaw resistance.",,medium_for_construction_low_for_dynamic_effective,"provisional; keep current default","Do not update from yaw fit; perform independent yaw inertia bench measurement."
front_wall_contact_offset,Vehicle,0.056,m,MazeMap/MazeMap/Vehicle.h,kFrontWallContactOffsetM,"Geometry constant; not reconciled here against recent wall-touch closure logs.",,medium,"usable as current default; not newly characterized","Bench-measure and validate with wall-touch logs if changing."
effective_track_width_in_place,Vehicle,0.084635,m,MazeMap/MazeMap/Vehicle.h,kPhysicalTrackWidthM,"Source comment says March 22 2026 aux008 fast IP180 audit pass fit 84.635 mm effective track; physical span is smaller, so this is a kinematic/effective value.",,medium_low,"provisional current default","Do not replace with scalar 0.104595474 m; run controlled in-place and rolling track characterization."
physical_track_span_min,Vehicle,0.07004,m,MazeMap/MazeMap/Vehicle.h,kTrackWidthPhysicalMinM,"Source comment says measured chassis tire contact span; represents physical span bound, not current kinematic track.",,medium,"usable geometry reference","Keep separate from effective track; remeasure tire contact span under load."
physical_track_span_max,Vehicle,0.07868,m,MazeMap/MazeMap/Vehicle.h,kTrackWidthPhysicalMaxM,"Source comment says measured chassis tire contact span; implies one tire contact width 4.32 mm.",,medium,"usable geometry reference","Keep separate from effective track; remeasure tire contact span under load."
drive_wheel_longitudinal_offset,Vehicle,0.01475,m,MazeMap/MazeMap/Vehicle.h,kDriveWheelLongitudinalOffsetM,"Source note says PlantModel contact placement still uses effective track; longitudinal offset is treated as contact placement.",,medium_low,"provisional current default","Bench-measure front/rear contact patch centers; validate in PlantModel contact geometry."
arc_track_width_tight_radius,Vehicle,0.063,m,MazeMap/MazeMap/Vehicle.h,kArcTrackWidthTightRadiusM,"Anchor radius for one post-fan-swap smooth-card fit.",,low,"not production-final","Rerun symmetric smooth-turn/arc audits at multiple radii."
